league,name,country,matches,total_yellow_cards,total_red_cards,avg_yellow_per_match,avg_red_per_match,avg_goals_per_match,avg_fouls_per_match,career_games,career_yellow_cards,career_red_cards
alemanha_bundesliga_2026_2027,Felix Zwayer,Germany,19,90,4,4.74,0.21,2.74,21.7,529,2427,53
alemanha_bundesliga_2026_2027,Sven Jablonski,Germany,18,51,1,2.83,0.06,3.61,21.4,324,1248,22
alemanha_bundesliga_2026_2027,Benjamin Brand,Germany,17,56,2,3.29,0.12,3.35,19.9,241,973,23
alemanha_bundesliga_2026_2027,Daniel Siebert,Germany,17,56,2,3.29,0.12,3.47,21.4,457,1952,37
alemanha_bundesliga_2026_2027,Bastian Dankert,Germany,15,46,1,3.07,0.07,3.47,18.7,351,1383,26
alemanha_bundesliga_2026_2027,Daniel Schlager,Germany,15,59,4,3.93,0.27,3.47,20.9,302,1304,27
alemanha_bundesliga_2026_2027,Florian Badstubner,Germany,15,33,1,2.2,0.07,3.67,21.7,308,1151,27
alemanha_bundesliga_2026_2027,Matthias Jollenbeck,Germany,15,55,1,3.67,0.07,3.33,19.7,240,969,20
alemanha_bundesliga_2026_2027,Tobias Stieler,Germany,15,47,4,3.13,0.27,2.47,19.7,441,1674,43
alemanha_bundesliga_2026_2027,Robert Hartmann,Germany,14,46,1,3.29,0.07,3.71,23.9,345,1257,16
alemanha_bundesliga_2026_2027,Sascha Stegemann,Germany,14,46,4,3.29,0.29,3.64,21.1,396,1548,38
alemanha_bundesliga_2026_2027,Tobias Welz,Germany,14,66,2,4.71,0.14,2.71,23.0,264,1063,25
alemanha_bundesliga_2026_2027,Deniz Aytekin,Germany,13,48,6,3.69,0.46,2.46,19.6,422,1659,59
alemanha_bundesliga_2026_2027,Florian Exner,Germany,13,60,2,4.62,0.15,4.23,21.1,178,751,19
alemanha_bundesliga_2026_2027,Harm Osmers,Germany,13,59,2,4.54,0.15,3.0,19.9,359,1509,33
alemanha_bundesliga_2026_2027,Sören Storks,Germany,13,65,6,5.0,0.46,2.85,20.8,246,1023,24
alemanha_bundesliga_2026_2027,Christian Dingert,Germany,12,44,4,3.67,0.33,2.75,22.1,385,1656,37
alemanha_bundesliga_2026_2027,Martin Petersen,Germany,11,55,1,5.0,0.09,4.09,22.4,320,1312,30
alemanha_bundesliga_2026_2027,Patrick Ittrich,Germany,11,32,0,2.91,0.0,3.73,17.6,236,1020,30
alemanha_bundesliga_2026_2027,Tobias Reichel,Germany,11,41,2,3.73,0.18,3.27,22.5,241,900,16
alemanha_bundesliga_2026_2027,Frank Willenborg,Germany,10,45,2,4.5,0.2,3.3,20.4,278,1122,21
alemanha_bundesliga_2026_2027,Robert Schröder,Germany,10,37,2,3.7,0.2,3.0,22.0,256,1072,22
alemanha_bundesliga_2026_2027,Robin Braun,Germany,10,41,2,4.1,0.2,3.4,22.5,138,631,13
alemanha_bundesliga_2026_2027,Timo Gerach,Germany,9,40,2,4.44,0.22,2.89,21.0,227,898,26
alemanha_bundesliga_2026_2027,Max Burda,Germany,1,6,0,6.0,0.0,1.0,26.0,184,860,13
alemanha_bundesliga_2026_2027,Mitja Stegemann,Germany,1,3,0,3.0,0.0,2.0,14.0,113,479,7
