league,name,country,matches,total_yellow_cards,total_red_cards,avg_yellow_per_match,avg_red_per_match,avg_goals_per_match,avg_fouls_per_match,career_games,career_yellow_cards,career_red_cards
argentina_primera_division_2026,Nazareno Arasa,Argentina,35,178,14,5.09,0.4,1.86,23.1,185,938,37
argentina_primera_division_2026,Sebastian Zunino,Argentina,35,197,14,5.63,0.4,2.23,24.4,116,560,37
argentina_primera_division_2026,Luis Lobo Medina,Argentina,34,172,6,5.06,0.18,1.91,22.8,105,577,20
argentina_primera_division_2026,Yael Falcon Perez,Argentina,34,199,8,5.85,0.24,2.5,25.0,222,1209,32
argentina_primera_division_2026,Andres Merlos,Argentina,33,166,15,5.03,0.45,1.82,21.9,325,1439,66
argentina_primera_division_2026,Leandro Rey Hilfer,Argentina,31,137,2,4.42,0.06,1.87,26.4,190,960,25
argentina_primera_division_2026,Carlos Andres Gariano,Argentina,30,154,16,5.13,0.53,1.93,23.9,104,452,21
argentina_primera_division_2026,Nicolas Ramirez,Argentina,30,190,8,6.33,0.27,2.13,25.6,146,898,34
argentina_primera_division_2026,Pablo Dovalo,Argentina,30,128,13,4.27,0.43,2.27,25.7,149,636,34
argentina_primera_division_2026,Dario Herrera,Argentina,29,163,13,5.62,0.45,2.21,25.9,477,2585,101
argentina_primera_division_2026,Sebastian Nicolas Martinez,Argentina,28,160,7,5.71,0.25,2.04,25.2,69,414,12
argentina_primera_division_2026,Pablo Echavarria,Argentina,27,105,5,3.89,0.19,2.37,22.5,238,1075,30
argentina_primera_division_2026,Facundo Raul Tello Figueroa,Argentina,25,121,5,4.84,0.2,1.4,27.2,354,1885,74
argentina_primera_division_2026,Fernando Echenique,Argentina,23,121,13,5.26,0.57,1.87,27.0,305,1418,39
argentina_primera_division_2026,Hernan Mastrangelo,Argentina,21,95,5,4.52,0.24,1.95,26.7,211,1034,29
argentina_primera_division_2026,Nicolas Lamolina,Argentina,19,84,8,4.42,0.42,2.26,22.1,213,1182,46
argentina_primera_division_2026,Bruno Amiconi,Argentina,15,86,5,5.73,0.33,2.2,20.0,17,100,5
argentina_primera_division_2026,Jorge Balino,Argentina,14,62,3,4.43,0.21,2.21,28.8,258,1272,38
argentina_primera_division_2026,Ariel Penel,Argentina,13,58,3,4.46,0.23,2.08,23.9,216,953,31
argentina_primera_division_2026,Daniel Zamora,Argentina,13,75,3,5.77,0.23,2.46,27.5,18,103,3
argentina_primera_division_2026,Felipe Viola,Argentina,11,56,5,5.09,0.45,2.64,25.0,11,55,5
argentina_primera_division_2026,Fernando Espinoza,Argentina,11,62,3,5.64,0.27,2.0,19.7,269,1430,53
argentina_primera_division_2026,Juan Pafundi,Argentina,10,45,1,4.5,0.1,1.6,26.8,21,98,2
argentina_primera_division_2026,Bryan Ferreyra,,8,36,3,4.5,0.38,1.88,25.6,17,76,2
argentina_primera_division_2026,Alvaro Caranza,Argentina,7,32,2,4.57,0.29,2.71,27.3,8,40,1
argentina_primera_division_2026,Juan Pablo Loustau,Argentina,4,19,1,4.75,0.25,1.5,28.0,3,13,0
argentina_primera_division_2026,Brian Ferreyra,Argentina,2,6,0,3.0,0.0,1.5,23.0,5,13,0
argentina_primera_division_2026,Maximiliano Macheroni,Argentina,2,15,1,7.5,0.5,2.5,28.5,3,18,0
argentina_primera_division_2026,Edgardo Zamora,Argentina,1,6,0,6.0,0.0,2.0,,1,6,0
argentina_primera_division_2026,Gonzalo Pereira,Argentina,1,4,0,4.0,0.0,3.0,21.0,2,8,1
argentina_primera_division_2026,Pablo Gimenez,Argentina,1,4,0,4.0,0.0,2.0,32.0,9,44,0
