league,name,country,matches,total_yellow_cards,total_red_cards,avg_yellow_per_match,avg_red_per_match,avg_goals_per_match,avg_fouls_per_match,career_games,career_yellow_cards,career_red_cards
belgica_pro_league_2026_2027,Lawrence Visser,Belgium,33,145,6,4.39,0.18,3.33,23.1,335,1555,45
belgica_pro_league_2026_2027,Jasper Vergoote,Belgium,31,105,12,3.39,0.39,2.94,21.7,182,689,25
belgica_pro_league_2026_2027,Lothar D'hondt,Belgium,30,124,7,4.13,0.23,2.53,25.0,199,802,24
belgica_pro_league_2026_2027,Nicolas Laforge,Belgium,30,130,4,4.33,0.13,2.27,21.5,316,1475,60
belgica_pro_league_2026_2027,Bert Verbeke,Netherlands,28,83,3,2.96,0.11,2.93,21.8,35,107,2
belgica_pro_league_2026_2027,Jan Boterberg,Belgium,28,111,5,3.96,0.18,2.5,22.0,204,776,24
belgica_pro_league_2026_2027,Simon Bourdeaud'hui,Belgium,28,96,2,3.43,0.07,3.0,23.2,55,205,4
belgica_pro_league_2026_2027,Bram Van Driessche,Belgium,27,100,6,3.7,0.22,2.81,22.0,276,1234,28
belgica_pro_league_2026_2027,Nathan Verboomen,Belgium,27,117,7,4.33,0.26,2.41,23.3,247,1089,42
belgica_pro_league_2026_2027,Wesli De Cremer,Belgium,21,96,4,4.57,0.19,3.05,25.2,125,494,23
belgica_pro_league_2026_2027,Eric Lambrechts,Belgium,20,89,2,4.45,0.1,2.75,22.3,347,1416,37
belgica_pro_league_2026_2027,Bert Put,Belgium,18,67,4,3.72,0.22,3.06,22.1,173,685,21
belgica_pro_league_2026_2027,Kevin van Damme,Belgium,17,69,2,4.06,0.12,2.59,21.4,148,581,17
belgica_pro_league_2026_2027,Michiel Allaerts,Belgium,15,45,4,3.0,0.27,2.13,23.2,32,113,4
belgica_pro_league_2026_2027,Massimiliano Ledda,Belgium,13,46,4,3.54,0.31,2.08,24.7,20,77,3
belgica_pro_league_2026_2027,Anthony Letellier,Belgium,11,30,0,2.73,0.0,2.91,21.5,15,39,1
belgica_pro_league_2026_2027,Wim Smet,Belgium,4,14,0,3.5,0.0,2.0,24.8,264,931,31
belgica_pro_league_2026_2027,Yusuke Araki,Japan,3,9,1,3.0,0.33,3.0,22.7,204,592,18
