league,name,country,matches,total_yellow_cards,total_red_cards,avg_yellow_per_match,avg_red_per_match,avg_goals_per_match,avg_fouls_per_match,career_games,career_yellow_cards,career_red_cards
brasileirao_serie_a_2026,Davi de Oliveira Lacerda,Brazil,49,251,12,5.12,0.24,2.41,23.8,91,484,14
brasileirao_serie_a_2026,Rodrigo Jose Pereira de Lima,Brazil,45,226,10,5.02,0.22,2.42,27.7,112,605,25
brasileirao_serie_a_2026,Rafael Rodrigo Klein,Brazil,40,178,17,4.45,0.42,2.42,26.4,126,680,36
brasileirao_serie_a_2026,Anderson Daronco,Brazil,39,185,13,4.74,0.33,2.49,27.1,405,1797,67
brasileirao_serie_a_2026,Raphael Claus,Brazil,37,152,8,4.11,0.22,2.54,22.8,395,1713,58
brasileirao_serie_a_2026,Bruno Arleu de Araujo,Brazil,36,204,8,5.67,0.22,2.31,28.2,226,1249,32
brasileirao_serie_a_2026,Wilton Pereira Sampaio,Brazil,36,194,9,5.39,0.25,2.39,27.4,409,2076,55
brasileirao_serie_a_2026,Felipe Fernandes de Lima,Brazil,35,171,8,4.89,0.23,2.2,30.0,125,696,34
brasileirao_serie_a_2026,Alex Gomes Stefano,Brazil,32,168,13,5.25,0.41,2.69,31.0,77,395,25
brasileirao_serie_a_2026,Flavio Rodrigues De Souza,Brazil,31,168,12,5.42,0.39,2.1,26.3,251,1198,40
brasileirao_serie_a_2026,Paulo Cesar Zanovelli da Silva,Brazil,30,162,7,5.4,0.23,2.57,30.0,135,751,33
brasileirao_serie_a_2026,Ramon Abatti Abel,Brazil,29,158,9,5.45,0.31,2.55,29.8,174,826,39
brasileirao_serie_a_2026,Matheus Delgado Candançan,Brazil,28,91,9,3.25,0.32,3.04,25.5,98,437,22
brasileirao_serie_a_2026,Lucas Casagrande,Brazil,27,127,4,4.7,0.15,2.33,27.9,46,211,9
brasileirao_serie_a_2026,Lucas Paulo Torezin,Brazil,26,132,8,5.08,0.31,3.31,26.3,67,383,15
brasileirao_serie_a_2026,Savio Pereira Sampaio,Brazil,25,133,5,5.32,0.2,2.92,27.0,116,526,17
brasileirao_serie_a_2026,Fernando Antonio Mendes de Salles Nascimento Filho,Brazil,16,79,8,4.94,0.5,2.88,28.6,44,235,13
brasileirao_serie_a_2026,Wagner do Nascimento Magalhaes,Brazil,14,70,3,5.0,0.21,2.86,28.6,238,1302,27
brasileirao_serie_a_2026,Edina Alves Batista,Brazil,11,57,4,5.18,0.36,2.73,24.5,113,490,13
brasileirao_serie_a_2026,Joao Vitor Gobi,Brazil,11,40,3,3.64,0.27,2.91,27.3,66,306,15
brasileirao_serie_a_2026,Braulio Da Silva Machado,Brazil,9,45,2,5.0,0.22,3.11,23.7,232,1353,48
brasileirao_serie_a_2026,Jefferson Ferreira de Moraes,Brazil,8,45,6,5.62,0.75,2.88,26.6,72,382,25
brasileirao_serie_a_2026,Jonathan Benkenstein Pinheiro,Brazil,8,34,2,4.25,0.25,2.0,29.5,60,227,12
brasileirao_serie_a_2026,Bruno Pereira Vasconcelos,Brazil,6,32,0,5.33,0.0,3.17,26.0,52,281,9
brasileirao_serie_a_2026,Marcelo de Lima Henrique,Brazil,6,26,4,4.33,0.67,3.67,27.8,247,1120,48
brasileirao_serie_a_2026,Andre Luis Skettino Policarpo Bento,Brazil,5,29,1,5.8,0.2,3.2,28.2,16,86,5
brasileirao_serie_a_2026,Yuri Elino Ferreira Da Cruz,Brazil,4,17,0,4.25,0.0,2.25,31.5,68,380,12
brasileirao_serie_a_2026,Daiane Caroline Muniz Dos Santos,Brazil,3,11,0,3.67,0.0,5.0,23.0,19,83,2
brasileirao_serie_a_2026,Gustavo Ervino Bauermann,Brazil,2,7,0,3.5,0.0,3.5,25.5,47,279,3
brasileirao_serie_a_2026,Lucas Canetto Bellote,Brazil,2,12,0,6.0,0.0,2.5,24.0,27,148,5
brasileirao_serie_a_2026,Afro Rocha De Carvalho Filho,Brazil,1,7,0,7.0,0.0,1.0,43.0,29,153,3
brasileirao_serie_a_2026,Andre Luiz Skettino Policarpo Bento,Brazil,1,6,0,6.0,0.0,2.0,40.0,53,329,11
brasileirao_serie_a_2026,Charly Wendy Straub Deretti,Brazil,1,3,0,3.0,0.0,2.0,25.0,9,33,2
brasileirao_serie_a_2026,Denis da Silva Ribeiro Serafim,Brazil,1,8,0,8.0,0.0,3.0,26.0,60,346,9
brasileirao_serie_a_2026,Maguielson Lima Barbosa,Brazil,1,4,0,4.0,0.0,5.0,28.0,49,283,13
brasileirao_serie_a_2026,Murilo Ugolini Klein,Brazil,1,2,0,2.0,0.0,3.0,22.0,4,15,0
brasileirao_serie_a_2026,Paulo Belence Alves Dos Prazeres Filho,Brazil,1,4,0,4.0,0.0,4.0,28.0,30,154,8
