league,name,country,matches,total_yellow_cards,total_red_cards,avg_yellow_per_match,avg_red_per_match,avg_goals_per_match,avg_fouls_per_match,career_games,career_yellow_cards,career_red_cards
brasileirao_serie_b_2026,Afro Rocha De Carvalho Filho,Brazil,20,100,4,5.0,0.2,1.95,30.1,29,153,3
brasileirao_serie_b_2026,Wagner do Nascimento Magalhaes,Brazil,19,87,3,4.58,0.16,3.47,26.7,237,1297,27
brasileirao_serie_b_2026,Bruno Pereira Vasconcelos,Brazil,17,89,8,5.24,0.47,2.29,29.4,49,277,9
brasileirao_serie_b_2026,Jonathan Benkenstein Pinheiro,Brazil,16,59,3,3.69,0.19,2.5,29.0,58,223,12
brasileirao_serie_b_2026,Gustavo Ervino Bauermann,Brazil,13,77,4,5.92,0.31,2.15,33.7,47,278,3
brasileirao_serie_b_2026,Yuri Elino Ferreira Da Cruz,Brazil,13,49,4,3.77,0.31,2.15,28.9,65,368,11
brasileirao_serie_b_2026,Lucas Canetto Bellote,Brazil,12,58,1,4.83,0.08,2.0,26.1,27,148,5
brasileirao_serie_b_2026,Maguielson Lima Barbosa,Brazil,12,61,6,5.08,0.5,2.75,29.9,48,280,13
brasileirao_serie_b_2026,Marcelo de Lima Henrique,Brazil,12,60,6,5.0,0.5,2.92,24.3,246,1116,48
brasileirao_serie_b_2026,Andre Luis Skettino Policarpo Bento,Brazil,11,53,6,4.82,0.55,1.45,31.5,16,84,5
brasileirao_serie_b_2026,Fernando Antonio Mendes de Salles Nascimento Filho,Brazil,11,55,5,5.0,0.45,2.18,29.6,41,219,12
brasileirao_serie_b_2026,Joao Vitor Gobi,Brazil,11,37,3,3.36,0.27,1.82,30.5,66,306,15
brasileirao_serie_b_2026,Lucas Guimarães Rechatiko Horn,Brazil,11,52,2,4.73,0.18,2.0,31.0,21,99,5
brasileirao_serie_b_2026,Bruno Arleu de Araujo,Brazil,10,47,1,4.7,0.1,2.2,24.7,222,1220,32
brasileirao_serie_b_2026,Edina Alves Batista,Brazil,10,48,2,4.8,0.2,1.4,29.4,109,476,13
brasileirao_serie_b_2026,Savio Pereira Sampaio,Brazil,10,32,2,3.2,0.2,3.5,27.0,114,514,17
brasileirao_serie_b_2026,Alex Gomes Stefano,Brazil,9,40,7,4.44,0.78,2.11,28.9,73,376,24
brasileirao_serie_b_2026,Braulio Da Silva Machado,Brazil,9,41,0,4.56,0.0,2.56,26.3,229,1345,48
brasileirao_serie_b_2026,Leo Simao Holanda,Brazil,9,57,4,6.33,0.44,1.78,26.8,26,160,10
brasileirao_serie_b_2026,Lucas Paulo Torezin,Brazil,9,52,3,5.78,0.33,1.89,27.9,67,383,15
brasileirao_serie_b_2026,Paulo Cesar Zanovelli da Silva,Brazil,9,37,7,4.11,0.78,1.44,29.7,133,734,32
brasileirao_serie_b_2026,Paulo Schleich Vollkopf,Brazil,9,47,2,5.22,0.22,2.22,29.2,33,172,4
brasileirao_serie_b_2026,Felipe Fernandes de Lima,Brazil,8,46,8,5.75,1.0,2.12,30.8,123,691,34
brasileirao_serie_b_2026,Jefferson Ferreira de Moraes,Brazil,8,44,3,5.5,0.38,2.25,26.5,72,382,25
