league,name,country,matches,total_yellow_cards,total_red_cards,avg_yellow_per_match,avg_red_per_match,avg_goals_per_match,avg_fouls_per_match,career_games,career_yellow_cards,career_red_cards
eredivisie_2026_2027,Serdar Gozubuyuk,Netherlands,31,109,4,3.52,0.13,3.13,22.4,493,1768,51
eredivisie_2026_2027,Allard Lindhout,Netherlands,28,66,3,2.36,0.11,3.29,19.0,397,1126,48
eredivisie_2026_2027,Danny Makkelie,Netherlands,28,87,3,3.11,0.11,4.0,21.7,584,1989,59
eredivisie_2026_2027,Jeroen Manschot,Netherlands,26,98,6,3.77,0.23,3.12,19.9,353,1180,32
eredivisie_2026_2027,Marc Nagtegaal,Netherlands,26,74,3,2.85,0.12,3.27,21.3,151,428,5
eredivisie_2026_2027,Sander van der Eijk,Netherlands,26,91,5,3.5,0.19,3.0,21.2,199,661,27
eredivisie_2026_2027,Alex Bos,Netherlands,23,65,5,2.83,0.22,3.74,21.3,122,372,12
eredivisie_2026_2027,Joey Kooij,Netherlands,23,70,2,3.04,0.09,2.96,21.7,210,757,23
eredivisie_2026_2027,Jannick van der Laan,Netherlands,22,68,2,3.09,0.09,2.45,22.4,124,423,11
eredivisie_2026_2027,Erwin Blank,Netherlands,18,49,1,2.72,0.06,3.5,23.2,176,620,16
eredivisie_2026_2027,Robin Hensgens,Netherlands,18,61,3,3.39,0.17,2.56,23.0,103,358,12
eredivisie_2026_2027,Martin Van den Kerkhof,Netherlands,17,36,2,2.12,0.12,3.65,19.4,310,867,42
eredivisie_2026_2027,Ingmar Oostrom,Netherlands,16,47,3,2.94,0.19,3.88,23.5,179,572,20
eredivisie_2026_2027,Dennis Higler,Netherlands,15,41,3,2.73,0.2,2.93,22.9,406,1283,56
eredivisie_2026_2027,Rob Dieperink,Netherlands,14,49,2,3.5,0.14,3.5,24.2,190,556,21
eredivisie_2026_2027,Bas Nijhuis,Netherlands,13,48,2,3.69,0.15,3.77,20.6,436,1188,38
eredivisie_2026_2027,Martijn Vos,Netherlands,11,48,6,4.36,0.55,3.0,21.8,104,367,12
eredivisie_2026_2027,Richard Martens,Netherlands,10,34,3,3.4,0.3,3.1,21.2,197,686,22
eredivisie_2026_2027,Stan Teuben,Netherlands,5,12,0,2.4,0.0,3.0,21.2,97,337,8
eredivisie_2026_2027,Edwin Van de Graaf,Netherlands,3,8,1,2.67,0.33,3.67,19.0,265,857,31
eredivisie_2026_2027,Freek Vandeursen,Netherlands,1,6,0,6.0,0.0,7.0,29.0,,,
