league,name,country,matches,total_yellow_cards,total_red_cards,avg_yellow_per_match,avg_red_per_match,avg_goals_per_match,avg_fouls_per_match,career_games,career_yellow_cards,career_red_cards
france_ligue_1_2026_2027,Benoît Bastien,France,21,66,4,3.14,0.19,2.95,22.3,441,1731,76
france_ligue_1_2026_2027,François Letexier,France,19,84,8,4.42,0.42,2.63,24.1,342,1374,64
france_ligue_1_2026_2027,Bastien Dechepy,France,18,82,5,4.56,0.28,2.72,24.8,177,699,38
france_ligue_1_2026_2027,Clement Turpin,France,18,60,3,3.33,0.17,2.89,23.0,524,1771,103
france_ligue_1_2026_2027,Eric Wattellier,France,18,50,5,2.78,0.28,3.78,19.8,217,667,31
france_ligue_1_2026_2027,Jeremie Pignard,France,18,76,7,4.22,0.39,2.94,23.4,193,822,36
france_ligue_1_2026_2027,Marc Bollengier,France,18,77,5,4.28,0.28,2.61,26.7,107,399,13
france_ligue_1_2026_2027,Ruddy Buquet,France,18,54,3,3.0,0.17,3.44,23.3,467,1829,72
france_ligue_1_2026_2027,Willy Delajod,France,18,55,4,3.06,0.22,2.56,24.5,253,974,43
france_ligue_1_2026_2027,Guillaume Paradis,France,17,66,3,3.88,0.18,2.06,24.9,126,513,23
france_ligue_1_2026_2027,Jérôme Brisard,France,17,77,8,4.53,0.47,3.0,23.9,282,1079,64
france_ligue_1_2026_2027,Thomas Leonard,France,17,66,3,3.88,0.18,2.41,24.3,272,1052,43
france_ligue_1_2026_2027,Jeremy Stinat,France,16,62,7,3.88,0.44,2.62,22.4,214,767,31
france_ligue_1_2026_2027,Mathieu Vernice,France,16,66,6,4.12,0.38,2.38,27.5,126,534,25
france_ligue_1_2026_2027,Benoît Millot,France,15,53,1,3.53,0.07,2.93,26.3,212,829,36
france_ligue_1_2026_2027,Hakim Ben el Salem Hadj,France,13,48,5,3.69,0.38,2.62,22.1,279,1105,45
france_ligue_1_2026_2027,Stephanie Frappart,France,13,51,0,3.92,0.0,3.46,24.2,286,1050,40
france_ligue_1_2026_2027,Gael Angoula,France,12,40,1,3.33,0.08,3.17,20.5,129,424,16
france_ligue_1_2026_2027,Romain Lissorgue,France,12,49,3,4.08,0.25,3.08,25.9,180,684,25
france_ligue_1_2026_2027,Abdelatif Kherradji,France,11,42,4,3.82,0.36,2.36,28.4,127,482,22
france_ligue_1_2026_2027,Aurelien Petit,France,1,2,0,2.0,0.0,4.0,26.0,230,841,54
france_ligue_1_2026_2027,Azzedine Souifi,France,1,0,0,0.0,0.0,3.0,20.0,61,239,6
