league,name,country,matches,total_yellow_cards,total_red_cards,avg_yellow_per_match,avg_red_per_match,avg_goals_per_match,avg_fouls_per_match,career_games,career_yellow_cards,career_red_cards
inglaterra_premier_league_2026_2027,Michael Oliver,England,32,99,2,3.09,0.06,2.69,22.8,660,2314,51
inglaterra_premier_league_2026_2027,Anthony Taylor,England,31,125,2,4.03,0.06,3.03,20.5,658,2490,68
inglaterra_premier_league_2026_2027,Chris Kavanagh,England,30,126,4,4.2,0.13,2.37,22.5,382,1412,33
inglaterra_premier_league_2026_2027,Stuart Attwell,England,27,133,3,4.93,0.11,2.93,22.3,448,1571,41
inglaterra_premier_league_2026_2027,Samuel Barrott,England,26,95,1,3.65,0.04,2.96,19.3,170,644,5
inglaterra_premier_league_2026_2027,Darren England,England,25,109,3,4.36,0.12,2.68,21.8,328,1223,26
inglaterra_premier_league_2026_2027,Jarred Gillett,Australia,24,88,2,3.67,0.08,2.75,20.0,335,1350,28
inglaterra_premier_league_2026_2027,Peter Bankes,England,24,98,5,4.08,0.21,2.79,22.1,345,1362,36
inglaterra_premier_league_2026_2027,Thomas Bramall,England,24,100,2,4.17,0.08,2.5,21.9,191,647,14
inglaterra_premier_league_2026_2027,Craig Pawson,England,23,67,2,2.91,0.09,3.0,22.2,477,1770,43
inglaterra_premier_league_2026_2027,Andy Madley,England,22,76,4,3.45,0.18,2.91,22.7,461,1437,36
inglaterra_premier_league_2026_2027,Robert Jones,England,20,84,0,4.2,0.0,2.85,22.2,317,1139,20
inglaterra_premier_league_2026_2027,Michael Salisbury,England,15,64,1,4.27,0.07,3.4,22.1,240,785,34
inglaterra_premier_league_2026_2027,Simon Hooper,England,15,61,2,4.07,0.13,3.27,23.3,431,1468,18
inglaterra_premier_league_2026_2027,John Brooks,England,14,57,3,4.07,0.21,3.07,20.1,310,1245,25
inglaterra_premier_league_2026_2027,Paul Tierney,England,14,45,2,3.21,0.14,2.07,20.4,405,1311,28
inglaterra_premier_league_2026_2027,Tony Harrington,England,12,40,1,3.33,0.08,1.92,20.7,363,1148,32
inglaterra_premier_league_2026_2027,Tim Robinson,England,10,42,2,4.2,0.2,2.3,23.2,447,1631,34
inglaterra_premier_league_2026_2027,Thomas Kirk,England,6,19,3,3.17,0.5,2.0,24.0,127,563,7
inglaterra_premier_league_2026_2027,Farai Hallam,England,5,13,0,2.6,0.0,3.4,21.8,72,257,1
inglaterra_premier_league_2026_2027,Andrew Kitchen,England,4,15,0,3.75,0.0,2.5,23.2,144,437,8
inglaterra_premier_league_2026_2027,Matt Donohue,England,3,15,0,5.0,0.0,2.0,26.3,245,1016,22
inglaterra_premier_league_2026_2027,Josh Smith,England,1,5,0,5.0,0.0,1.0,19.0,199,761,19
inglaterra_premier_league_2026_2027,Lewis Smith,England,1,5,1,5.0,1.0,2.0,24.0,136,504,6
