league,name,country,matches,total_yellow_cards,total_red_cards,avg_yellow_per_match,avg_red_per_match,avg_goals_per_match,avg_fouls_per_match,career_games,career_yellow_cards,career_red_cards
japao_j1_league_2026_2027,Akihiko Ikeuchi,Japan,38,81,2,2.13,0.05,2.97,20.4,191,527,14
japao_j1_league_2026_2027,Hiroyuki Kimura,Japan,36,104,1,2.89,0.03,2.89,22.5,289,823,15
japao_j1_league_2026_2027,Koichiro Fukushima,Japan,35,64,1,1.83,0.03,2.31,21.9,233,381,7
japao_j1_league_2026_2027,Futoshi Nakamura,Japan,34,95,5,2.79,0.15,2.68,20.0,174,497,10
japao_j1_league_2026_2027,Masuya Ueda,Japan,34,89,4,2.62,0.12,2.44,21.9,165,419,10
japao_j1_league_2026_2027,Hiroki Kasahara,Japan,31,91,5,2.94,0.16,2.26,21.8,128,348,11
japao_j1_league_2026_2027,Koei Koya,Japan,30,76,5,2.53,0.17,2.3,21.2,99,236,4
japao_j1_league_2026_2027,Koji Takasaki,Japan,30,86,3,2.87,0.1,2.03,21.1,50,149,4
japao_j1_league_2026_2027,Hayato Shimizu,Japan,28,66,4,2.36,0.14,2.86,18.5,118,269,11
japao_j1_league_2026_2027,Takafumi Mikuriya,Japan,28,57,2,2.04,0.07,2.11,22.9,69,152,4
japao_j1_league_2026_2027,Ryo Tanimoto,Japan,26,54,3,2.08,0.12,2.35,19.3,102,233,7
japao_j1_league_2026_2027,Yusuke Ohashi,Japan,24,42,4,1.75,0.17,2.83,20.5,32,65,3
japao_j1_league_2026_2027,Koki Nagamine,Japan,23,60,2,2.61,0.09,2.65,21.8,35,109,3
japao_j1_league_2026_2027,Jumpei Iida,Japan,22,52,2,2.36,0.09,2.77,24.3,256,737,13
japao_j1_league_2026_2027,Yusuke Araki,Japan,21,54,3,2.57,0.14,2.57,19.5,201,583,17
japao_j1_league_2026_2027,Yudai Yamamoto,Japan,18,47,1,2.61,0.06,1.89,26.0,268,806,10
japao_j1_league_2026_2027,Yuzo Sutani,Japan,18,31,3,1.72,0.17,3.33,20.3,17,31,1
japao_j1_league_2026_2027,Atsushi Uemura,Japan,16,42,2,2.62,0.12,2.69,19.6,39,119,2
japao_j1_league_2026_2027,Yoshiro Imamura,Japan,15,38,2,2.53,0.13,2.33,29.0,192,531,17
japao_j1_league_2026_2027,Atsushi Uemura,Japan,14,31,0,2.21,0.0,2.14,23.5,25,60,2
japao_j1_league_2026_2027,Yoshimi Yamashita,Japan,14,18,1,1.29,0.07,2.57,22.0,60,115,3
japao_j1_league_2026_2027,Keigo Sendachi,Japan,13,43,1,3.31,0.08,2.08,22.7,24,73,0
japao_j1_league_2026_2027,Daichi Shiino,Japan,12,37,1,3.08,0.08,2.75,25.0,11,36,1
japao_j1_league_2026_2027,Shu Kawamata,Japan,11,21,1,1.91,0.09,2.0,,34,70,4
japao_j1_league_2026_2027,Takuto Okabe,Japan,9,24,0,2.67,0.0,2.33,26.0,169,403,11
japao_j1_league_2026_2027,Ming Fu,China,7,10,0,1.43,0.0,3.57,21.0,156,466,13
japao_j1_league_2026_2027,Damian Kos,Poland,4,9,0,2.25,0.0,3.0,21.0,143,655,15
japao_j1_league_2026_2027,Iván Barton,El Salvador,4,15,0,3.75,0.0,2.5,,67,319,16
japao_j1_league_2026_2027,Lukasz Kuzma,Poland,4,11,0,2.75,0.0,2.75,,138,590,13
japao_j1_league_2026_2027,Nathan Verboomen,Belgium,4,13,0,3.25,0.0,1.75,,245,1077,42
japao_j1_league_2026_2027,Ali Mohamed Ahmed,,3,10,1,3.33,0.33,1.67,,3,11,0
japao_j1_league_2026_2027,Faisal Suleiman Al-Balawi,Saudi Arabia,3,9,0,3.0,0.0,2.67,,65,278,11
japao_j1_league_2026_2027,Florian Badstubner,Germany,3,7,0,2.33,0.0,1.33,,308,1151,27
japao_j1_league_2026_2027,Florian Exner,Germany,3,14,0,4.67,0.0,3.33,23.3,178,751,19
japao_j1_league_2026_2027,Harm Osmers,Germany,3,7,0,2.33,0.0,4.33,22.0,359,1509,33
japao_j1_league_2026_2027,Martin Petersen,Germany,3,7,0,2.33,0.0,3.0,,320,1312,30
japao_j1_league_2026_2027,Koya Yukie,Japan,2,6,1,3.0,0.5,2.5,20.0,5,11,1
japao_j1_league_2026_2027,Robert Jones,England,2,6,0,3.0,0.0,2.5,,317,1139,20
japao_j1_league_2026_2027,Atsushi Kamimura,Japan,1,0,0,0.0,0.0,1.0,14.0,1,0,0
japao_j1_league_2026_2027,Hide Kawamata,Japan,1,1,0,1.0,0.0,8.0,23.0,1,1,0
japao_j1_league_2026_2027,Keigo Sakidate,,1,5,0,5.0,0.0,3.0,,1,5,0
japao_j1_league_2026_2027,Keigo Sentatsu,Japan,1,4,0,4.0,0.0,1.0,27.0,1,4,0
japao_j1_league_2026_2027,Naoto Uehara,Japan,1,1,0,1.0,0.0,3.0,,2,3,0
