league,name,country,matches,total_yellow_cards,total_red_cards,avg_yellow_per_match,avg_red_per_match,avg_goals_per_match,avg_fouls_per_match,career_games,career_yellow_cards,career_red_cards
polonia_ekstraklasa_2026_2027,Paweł Raczkowski,Poland,29,148,8,5.1,0.28,2.9,26.2,455,2184,48
polonia_ekstraklasa_2026_2027,Karol Arys,Poland,27,70,3,2.59,0.11,2.3,26.8,101,303,11
polonia_ekstraklasa_2026_2027,Damian Sylwestrzak,Poland,24,119,6,4.96,0.25,2.38,28.5,192,938,16
polonia_ekstraklasa_2026_2027,Lukasz Kuzma,Poland,24,94,1,3.92,0.04,2.79,25.0,139,593,13
polonia_ekstraklasa_2026_2027,Wojciech Myc,Poland,24,87,0,3.62,0.0,2.62,27.5,149,631,12
polonia_ekstraklasa_2026_2027,Patryk Gryckiewicz,Poland,23,106,6,4.61,0.26,3.43,26.0,103,517,6
polonia_ekstraklasa_2026_2027,Piotr Lasyk,Poland,23,78,2,3.39,0.09,2.61,26.3,257,1038,17
polonia_ekstraklasa_2026_2027,Szymon Marciniak,Poland,23,81,3,3.52,0.13,3.61,24.0,575,2446,57
polonia_ekstraklasa_2026_2027,Jaroslaw Przybyl,Poland,22,88,4,4.0,0.18,2.55,26.9,344,1486,27
polonia_ekstraklasa_2026_2027,Bartosz Frankowski,Poland,21,85,1,4.05,0.05,2.71,21.2,419,1793,42
polonia_ekstraklasa_2026_2027,Tomasz Kwiatkowski,Poland,21,80,4,3.81,0.19,3.1,22.5,359,1482,26
polonia_ekstraklasa_2026_2027,Damian Kos,Poland,20,87,6,4.35,0.3,2.15,25.3,143,655,15
polonia_ekstraklasa_2026_2027,Pawel Malec,Poland,14,48,1,3.43,0.07,3.14,19.9,121,556,11
polonia_ekstraklasa_2026_2027,Marcin Szczerbowicz,Poland,11,42,0,3.82,0.0,2.82,25.3,107,470,10
polonia_ekstraklasa_2026_2027,Daniel Stefanski,Poland,10,60,5,6.0,0.5,1.6,24.8,381,1662,34
polonia_ekstraklasa_2026_2027,Mateusz Piszczelok,Poland,10,47,1,4.7,0.1,2.5,23.6,47,208,5
polonia_ekstraklasa_2026_2027,Marcin Kochanek,Poland,7,32,1,4.57,0.14,3.57,21.3,74,299,4
polonia_ekstraklasa_2026_2027,Piotr Rzucidlo,Poland,6,22,0,3.67,0.0,2.67,26.2,51,220,8
polonia_ekstraklasa_2026_2027,Sebastian Krasny,Poland,6,27,0,4.5,0.0,2.83,25.0,163,712,13
polonia_ekstraklasa_2026_2027,Koki Nagamine,Japan,4,15,0,3.75,0.0,1.75,25.8,35,109,3
polonia_ekstraklasa_2026_2027,Tomasz Marciniak,Poland,4,20,1,5.0,0.25,4.5,24.0,65,251,5
polonia_ekstraklasa_2026_2027,Lukasz Karski,Poland,1,7,0,7.0,0.0,4.0,29.0,59,256,2
polonia_ekstraklasa_2026_2027,Mateusz Jenda,Poland,1,1,0,1.0,0.0,7.0,21.0,27,100,4
polonia_ekstraklasa_2026_2027,Mohammad Al-Emara,Finland,1,4,0,4.0,0.0,1.0,28.0,182,648,16
