league,name,country,matches,total_yellow_cards,total_red_cards,avg_yellow_per_match,avg_red_per_match,avg_goals_per_match,avg_fouls_per_match,career_games,career_yellow_cards,career_red_cards
turquia_super_lig_2026_2027,Yasin Kol,Türkiye,23,123,10,5.35,0.43,2.22,27.7,139,765,25
turquia_super_lig_2026_2027,Cihan Aydin,Türkiye,22,107,7,4.86,0.32,2.18,27.8,136,554,22
turquia_super_lig_2026_2027,Adnan Deniz Kayatepe,Türkiye,20,83,2,4.15,0.1,2.65,27.6,67,260,5
turquia_super_lig_2026_2027,Ali Yilmaz,Türkiye,20,97,4,4.85,0.2,2.35,25.6,64,297,7
turquia_super_lig_2026_2027,Halil Umut Meler,Türkiye,20,88,6,4.4,0.3,2.85,25.4,320,1577,40
turquia_super_lig_2026_2027,Mehmet Turkmen,Türkiye,20,72,2,3.6,0.1,3.2,25.8,81,301,13
turquia_super_lig_2026_2027,Oguzhan Cakir,Türkiye,20,79,5,3.95,0.25,2.1,29.5,95,399,5
turquia_super_lig_2026_2027,Atilla Karaoglan,Türkiye,19,111,6,5.84,0.32,2.95,27.3,194,1074,23
turquia_super_lig_2026_2027,Batuhan Kolak,Türkiye,18,84,4,4.67,0.22,2.61,27.3,52,260,10
turquia_super_lig_2026_2027,Ali Sansalan,Türkiye,16,82,4,5.12,0.25,3.25,26.4,183,907,25
turquia_super_lig_2026_2027,Kadir Saglam,Türkiye,16,97,6,6.06,0.38,3.19,29.4,156,757,18
turquia_super_lig_2026_2027,Cagdas Altay,Türkiye,15,55,3,3.67,0.2,3.87,25.7,107,487,13
turquia_super_lig_2026_2027,Ozan Ergun,Türkiye,15,84,7,5.6,0.47,3.47,26.6,82,427,11
turquia_super_lig_2026_2027,Alper Akarsu,Türkiye,13,53,2,4.08,0.15,2.69,23.5,75,341,9
turquia_super_lig_2026_2027,Oguzhan Aksu,Türkiye,13,38,1,2.92,0.08,1.92,22.5,78,347,18
turquia_super_lig_2026_2027,Umit Ozturk,Türkiye,9,48,2,5.33,0.22,2.33,26.4,221,1142,30
turquia_super_lig_2026_2027,Yigit Arslan,Türkiye,9,39,4,4.33,0.44,2.89,30.1,108,555,24
turquia_super_lig_2026_2027,Gurcan Hasova,Türkiye,8,46,1,5.75,0.12,2.75,30.0,53,282,6
turquia_super_lig_2026_2027,Omer Tolga Guldibi,Türkiye,8,45,1,5.62,0.12,2.25,29.9,48,246,5
turquia_super_lig_2026_2027,Resat Onur Coskunses,Türkiye,6,24,2,4.0,0.33,2.0,28.0,47,217,10
turquia_super_lig_2026_2027,Omer Faruk Turtay,Türkiye,5,14,0,2.8,0.0,2.6,27.2,66,265,8
turquia_super_lig_2026_2027,Zorbay Kucuk,Türkiye,5,29,1,5.8,0.2,1.0,30.8,151,747,24
turquia_super_lig_2026_2027,Arda Kardesler,Türkiye,3,19,0,6.33,0.0,2.67,29.7,211,855,13
turquia_super_lig_2026_2027,Erdem Mertoglu,Türkiye,3,22,0,7.33,0.0,2.67,26.0,53,216,6
turquia_super_lig_2026_2027,Abdullah Bugra Taskinsoy,Türkiye,2,9,0,4.5,0.0,2.0,24.5,72,311,14
turquia_super_lig_2026_2027,Asen Albayrak,Türkiye,2,11,1,5.5,0.5,4.0,22.0,9,30,1
turquia_super_lig_2026_2027,Fatih Tokail,Türkiye,2,14,1,7.0,0.5,2.0,33.5,43,193,6
turquia_super_lig_2026_2027,Direnc Tonusluoglu,Türkiye,1,7,0,7.0,0.0,3.0,28.0,107,478,17
turquia_super_lig_2026_2027,Melek Dakan,Türkiye,1,1,1,1.0,1.0,3.0,22.0,3,10,2
